idtbl_pregunta,titulo,respuesta,id_usuario_creador,fecha_creacion,id_usuario_ultima_modificacion,fecha_ultima_modificacion,id_producto,id_estado,fecha_ult_actualizacion_keywords,keywords_rag,Vigencia,estado_carga,dias_vigencia,justificacion_garante,justificacion_curador,publicado_workplace,fecha_publicacion
583, Automatización de pagos de nuestros clientes multilatinas.,"Host to Host regional es el servicio que le permite a nuestros clientes multilatinas enviar pagos y transferencias mediante un único archivo, el cual puede generar desde su sistema interno (ERP) para procesar directamente en los sistemas de pago deColombia, Costa Rica, El Salvador, Panamá y Honduras.Características:Maneja altos estándares de seguridad y confiabilidad.Evita la manipulación de archivos de pago.Permite la interacción automática entre el ERP de la Empresa y el Banco.Facilidad para integrar protocolos de encriptación asegurando completamente el envío de información.Es una herramienta de apoyo para lograr eficiencia en los procesos.Respuesta en línea de los pagos.Para más información puedes consultar Conecta https://sites.google.com/davivienda.com/conecta/patrimonial/davivienda-colombia",92,2020-01-23 00:00:00,92.0,2024-11-13 00:00:00,174,3,2025-04-23 00:00:00,"cliente, automatizacion_pago, multilatinas",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
580,¿Qué es Pagaré Digital?,"El pagaré digital es un homólogo del pagaré rojo tradicional el cual cumple con las mismas funciones y responsabilidades, adicional en el pagaré digital está contenido las cláusulas del anexo 2 del FNG, es decir que al usarlo no debes firmar el anexo 2 del FNG. Ten presente estos tips para su firmaRecuerda que las firmas son digitales, para que estas tengan validez deben actualizar en 360(actualización no mayor a un año) los firmantes tanto Persona Jurídica como Personas Naturales, es decir titulares y avales según acta de crédito.No aplica para Redescuentos Bancoldex y Finagro.Recuerda validar si ya existe un pagaré te puede servir desde que contenga las mismas firmas.Para radicar tu pagaré debes tener listos documentos: cámara de comercio(PJ),RUT para PNCN, acta de crédito, copias de documento de identidad de los firmantes.El número máximo de avales por pagarés son 8 y de titulares o codeudores es 1El tiempo de atención de su solicitud es de 48 horas hábiles, para el inicio de firmas desde la radicación, si su pagaré requiere una modificación ante el proveedor (Deceval) la atención pasa a 72 horas hábiles. (Cambios de la información en pagaré: Nombre Rep Legal, Nombre Empresa)Para mas información puedes consultar acá https://docs.google.com/presentation/d/1dOfKQHOkS3tm54yslIMbOfNsklAb4t4Ky7xFa3s_P5o/edit#slide=id.g2203fe4490c_2_0",97,2020-01-23 00:00:00,97.0,2025-02-24 00:00:00,432,3,2025-04-23 00:00:00,"pagare_digital, pago, definicion",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
579,¿Qué transacciones se pueden realizar desde DaviPlata?,"Dentro del menú de la App se encontrarán las opciones básicas como:Sacar plataPasar plataMeter PlataPara conocer cómo pagar, recargar y recibir giros internacionales por DaviPlata haz ☝clic aquíConoce cómo realizar cada transacción: https://storage.cloud.google.com/adjuntos-preguntas-prod/1738532276072Banner2 Rojo-1 (8).pngarchivo.png https://comunidadesdesoporte.davivienda.com/#/respuestas/624",92,2020-01-23 00:00:00,92.0,2025-04-03 00:00:00,118,3,2025-04-23 00:00:00,"daviplata, funcionalidades, servicios",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
1739,Distribución del pago mínimo aplicado a una tarjeta de crédito,El pago mínimo que realizó a su tarjeta de crédito se distribuye en el siguiente orden de acuerdo a las condiciones y utilizaciones de su producto:Intereses de moraIntereses corrientesCuotas de manejoComisión de avancesGastos de cobranzaCuotas de seguroCapital en Mora (Se abona a las utilizaciones más antiguas cubriendo primero los avances y luego las compras)Capital: Se abona a las utilizaciones más antiguas cubriendo primero los avances y luego las compras.,97,2020-01-24 00:00:00,97.0,2024-08-23 00:00:00,187,3,2025-02-07 00:00:00,"tarjeta_credito, pago_minimo, distribucion_pago",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
2043,Campaña doble bono bienvenida en tarjeta de crédito Avianca LifeMiles,"Durante la campaña de doble bono de bienvenida de las tarjetas de crédito Avianca LifeMiles, los nuevos clientes que adquieran una tarjeta de crédito Avianca LifeMiles entre el 1 de agosto y el 30 de septiembre de 2024, y que no tengan una tarjeta de crédito activa durante ese período, podrán recibir un bono de bienvenida doble en millas, cumpliendo con el requisito de facturación.Los bonos de bienvenida se incrementarán de la siguiente manera:Tarjeta Clásica: de 2,000 a 4,000 millas.Tarjeta Gold: de 4,000 a 8,000 millas.Tarjeta Platinum: de 8,000 a 16,000 millas.Tarjeta Signature: de 10,000 a 20,000 millas.Condiciones:El cliente no debe poseer ninguna tarjeta de marca compartida LifeMiles Davivienda.Para recibir el doble bono de bienvenida, es necesario cumplir con el reto de facturación.La cantidad de millas de bienvenida y la acumulación de millas por consumo dependen del tipo de tarjeta de crédito aprobada.La promoción no aplica para renovaciones, reexpediciones o reemplazos de una tarjeta de crédito Avianca LifeMiles Visa previamente emitida.Requisitos de facturación para obtener el bono de bienvenida:Clásica: USD $400 en compras (equivalente a 300 millas).Gold: USD $700 en compras (equivalente a 700 millas).Platinum: USD $1,500 en compras (equivalente a 1,800 millas).Signature: USD $2,000 en compras (equivalente a 2,800 millas).",88,2020-01-24 00:00:00,88.0,2024-08-26 00:00:00,186,3,2025-08-05 00:00:00,"tarjeta_credito, avianca_lifemiles, bono_bienvenida",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
1889,Plazos de diferidos tarjeta de crédito,"Los plazos de diferido de compras y avances en tarjeta de crédito son:Compras nacionales: 1 a 60 meses.Las compras diferidas a un mes no tienen cobro de interés, siempre y cuando se cancele antes de la fecha límite de pago, para esto la transacción debe aparecer diferida en el sistema a 1 cuota o de lo contrario se le cobrarán los intereses desde la fecha de la transacción hasta el momento de realizar el pago. ⚠ Las compras en estaciones de gasolina, pago de impuestos y avances si tendrán cobro de intereses sin importar el plazo al cual se difiera, los intereses se facturan desde el primer corte.Compras Internacionales inferiores a $20.000: se difieren a 1 cuota y mayores a éste valor a 24 cuotas.Transacciones especiales (Rediferido, pago de gasolina, impuestos, avances y compras de cartera): Generan intereses desde la primera cuota sin importar el plazo al que se realizo la compra.Avances en los canales virtuales se puede seleccionar las cuota. ⚠ Los avances, pago de impuestos, compras en gasolineras y compras de cartera generan intereses a si se hayan diferido a una sola cuota.AvancesNacionales en cajero: automáticamente se difieren a 36 meses.Avancesinternacionales en cajero: automáticamente se difieren a 24 meses.☝ Si el cliente desea cambiar el plazo al que queda diferido automáticamente los avances o compras nacionales e internacionales, puede cambiar el diferido por canales virtuales o comunicándose con nuestro Call Center o Chat de servicio. https://comunidadesdesoporte.davivienda.com/#/respuestas/1881",97,2020-01-24 00:00:00,97.0,2024-08-26 00:00:00,193,3,2025-08-05 00:00:00,"tarjeta_credito, diferir, plazo",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
2254,Cancelación de cuenta por solicitud del área de la unidad de cumplimiento,"Si es una cuenta de ahorros la cancelación se realiza de forma normal en el área de caja.Si es una cuenta corriente debes realizar los siguientes pasos:Realizar una nota débito 06Crear un sobrante a través de un ingreso 13.Con la cuenta en 0 pesos debes realizar el proceso realizando la cancelación de la cuenta en el área de información.En ambos casos el Director Administrativo debe notificar a la unidad de cumplimiento que se llevó a cabo la cancelación de la cuenta.Nota: La nota débito 06 genera diferencia en la estación de caja, pero el cuadre de la oficina no se ve afectado por lo tanto debe quedar en 0.",97,2020-01-24 00:00:00,97.0,2024-08-26 00:00:00,416,3,2025-04-23 00:00:00,"cuenta, cancelacion, unidad_cumplimiento",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
4003,¿Quiénes pagan los cargos administrativos en un leasing habitacional?,"Los clientes son responsables de los gastos asociados a su leasing, como administración, impuestos y servicios, incluso si aparecen a nombre de Davivienda. Según el contrato, estos gastos son responsabilidad del locatario. Sin embargo, a veces, los arrendatarios no pagan a las autoridades locales y el banco es a quién le cobran debido a que figura como el propietario actual, generando deudas. En la Regional Antioquía, los municipios no envían cobros individuales, sino que cobran a todos los inmuebles bajo la modalidad de leasing habitacional al banco. Para estos clientes, se pagan impuestos y valorizaciones, y se gestiona el cobro en la tarjeta de crédito vivienda o crédito leasing.☝ Ten en cuenta que:Los gastos cobrados por la Secretaría de Hacienda o el Municipio, pueden ser trimestrales, semestrales o anuales.Para el caso de Administraciones y Servicios públicos es por los períodos que se encuentren pendientes de pago o mora.El cliente puede realizar los trámites de gastos administrativos de leasing desde cualquier ciudad donde se encuentre ya que en las oficinas de serviciocontamos con el acceso directo a herramienta Base Colombia donde se podrá consultar y orientar al cliente para el trámite que requiera realizar.Pago de administración en mora: es responsabilidad del locatario del leasing habitacional mantenerse al día con los pagos de administración de su inmueble. En caso de incumplimiento, la copropiedad podría iniciar un proceso legal y obtener un mandamiento de pago desde el juzgado. Una vez que el banco recibe este mandamiento, procede a pagar de inmediato a la copropiedad y luego se abonan los honorarios de abogados externos involucrados.En Base Colombia, estos rubros se identifican como administración y honorarios de abogado externo.El valor máximo por cobro de honorarios de abogados externos por concepto de administración es de 2 salarios mínimos mensuales legales vigentes (SMLV). https://script.google.com/a/macros/davivienda.com/s/AKfycbzSDeexDjwte820DWSryYlwdkajCUPzzb21L0x2eJEva8RdMJTkA3VpYuhcWkufgbzj9g/exec https://script.google.com/a/macros/davivienda.com/s/AKfycbzSDeexDjwte820DWSryYlwdkajCUPzzb21L0x2eJEva8RdMJTkA3VpYuhcWkufgbzj9g/exec",88,2020-01-24 00:00:00,88.0,2024-08-27 00:00:00,455,3,2025-08-05 00:00:00,"leasing_habitacional, cargos_administrativos, pago",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
6449,¿Por qué se puede incrementar la cuota de un crédito?,El pago mínimo de cualquier crédito fijo se compone de por lo menos 3 de los siguientes ítems fundamentales que se reflejan en el extracto del cliente como otros cargos y en AS400 como cargos fijos estos hacen referencia a cargos de:Abono a Capital.Intereses corrientes.Seguros fijos y seguros no obligatorios como el seguro deudores.Gastos administrativos como deudas de leasing (impuestos).Gestión de cobranza (Ocasional).Traslado mora (Ocasional).Gastos administrativos como impuestos en Leasing.☝ Recuerda: El pago mínimo se puede ver discriminado al ingresara la función 02 - Facturación de AS400.Conoce como ingresar a AS400 para realizar consultas generales sobre los créditos https://drive.google.com/file/d/15fYNBbHxHH_hS1V85_DWnaOXFkLJelpJ/view,88,2020-01-24 00:00:00,88.0,2024-08-28 00:00:00,455,3,2025-06-03 00:00:00,"cartera_sustitutiva, fag, pagare",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
1837,Clave de avances de tarjeta de crédito Retail / Grupo Uribe,"☝ Ten en cuenta que:Para clientes que tienen una cuenta de ahorro y/o corriente, pueden acceder por el App Davivienda Móvil para realizar el avance por los canales virtuales☝Para clientes que únicamente tienen la tarjeta de crédito Retal del grupo Uribe, el cliente puede realizar la solicitud de la clave por medio del Call Center o el Chat. Para el proceso de renovación de la tarjeta, el cliente una vez reciba la nueva tarjeta se podrá autogestionar a través de la App Móvil Davivienda☝Los clientes que ya cuentan con los bines nativos de FACT (Lista de bines nuevos) pueden hacer la solicitud de la OTP a través de la App Davivienda Móvil.Conoce el proceso aquí. Error con avances: Si el cliente reporta esta novedad verifica en AS400 como aplicaron sus pagos. https://comunidadesdesoporte.davivienda.com/#/respuestas/1834 https://comunidadesdesoporte.davivienda.com/#/respuestas/11160 https://comunidadesdesoporte.davivienda.com/#/respuestas/11160 https://drive.google.com/file/d/11nDKLc43x8mUorspIMtW4HIBoXFIsubR/preview?usp=drive_web&amp;&amp;iconodrive=https://drive-thirdparty.googleusercontent.com/16/type/video/mp4",97,2020-01-24 00:00:00,97.0,2024-08-28 00:00:00,187,3,2025-02-07 00:00:00,"tarjeta_credito, avances, grupo_uribe",2025-12-31 00:00:00,0,,,,,2025-08-15 00:00:00
